post_id,title,category,score,num_comments,author,collected_at
47601310,"Iran war sparks renewables boom as Europeans rush to buy solar, heat pumps, EVs",worldnews,86,120,vrganj,2026-04-05 20:16:49
47641615,Sopwith – 1984 Game (2000),sports,95,42,elvis70,2026-04-05 20:17:19
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,61,angst,2026-04-05 20:17:19
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",sports,25,14,arttaboi,2026-04-05 20:17:19
47632901,Sandbox Strategy Game for AI,sports,6,0,Stefan_Golas,2026-04-05 20:17:19
47621557,Show HN: SkiFlee (an HTML5 game),sports,8,9,BSTRhino,2026-04-05 20:17:19
47629485,A case study in testing with 100+ Claude agents in parallel,science,53,46,thejash,2026-04-05 20:17:21
47632504,"""Cognitive surrender"" leads AI users to abandon logical thinking, research finds",science,96,39,Bender,2026-04-05 20:17:21
47645696,Towards end-to-end automation of AI research,science,6,0,hardmaru,2026-04-05 20:17:21
47588349,GitHub Monaspace Case Study,science,146,50,homebrewer,2026-04-05 20:17:21
47624879,Switzerland hosts 'CERN of semiconductor research',science,34,6,teleforce,2026-04-05 20:17:21
47609883,"Salomi, a research repo on extreme low-bit transformer quantization",science,12,4,Edward9055,2026-04-05 20:17:21
47609725,Show HN: NASA Artemis II Mission Timeline Tracker,science,93,17,AustinDev,2026-04-05 20:17:21
47637013,MIT study challenges AI job apocalypse narrative,science,5,2,TMWNN,2026-04-05 20:17:21
47646504,Show HN: OsintRadar – Curated directory for osint tools,entertainment,29,4,lexalizer,2026-04-05 20:17:23
47613118,Show HN: I built a small app for FSI German Course,entertainment,43,13,syedmsawaid,2026-04-05 20:17:23
47642601,Show HN: M. C. Escher spiral in WebGL inspired by 3Blue1Brown,entertainment,119,19,laszlokorte,2026-04-05 20:17:23
47639303,"Show HN: I made open source, zero power PCB hackathon badges",entertainment,129,11,kaipereira,2026-04-05 20:17:23
47639567,Show HN: TurboQuant-WASM – Google's vector quantization in the browser,entertainment,156,6,teamchong,2026-04-05 20:17:23
47645025,"Show HN: Contrapunk – Real-time counterpoint harmony from guitar input, in Rust",entertainment,81,36,waveywaves,2026-04-05 20:17:23
47625952,Show HN: I built a frontpage for personal blogs,entertainment,762,191,ramkarthikk,2026-04-05 20:17:23
47642275,"Netflix must refund customers for years of price hikes, Italian court rules",entertainment,58,6,xbmcuser,2026-04-05 20:17:23
47626598,Show HN: ctx – an Agentic Development Environment (ADE),entertainment,50,52,luca-ctx,2026-04-05 20:17:23
47640770,Show HN: DocMason – Agent Knowledge Base for local complex office files,entertainment,8,0,Jet_Xu,2026-04-05 20:17:23
47630109,Firm boosts H.264 streaming license fees from $100k up to staggering $4.5M,entertainment,189,74,MaximilianEmel,2026-04-05 20:17:23
47638532,"Show HN: Ownscribe – local meeting transcription, summarization and search",entertainment,12,0,paberr,2026-04-05 20:17:23
47606560,"Show HN: Dull – Instagram Without Reels, YouTube Without Shorts (iOS)",entertainment,152,117,kasparnoor,2026-04-05 20:17:23
47632692,Show HN: Mtproto.zig – High-performance Telegram proxy with DPI evasion,entertainment,21,14,slp3r,2026-04-05 20:17:23
47621438,Show HN: Made a little Artemis II tracker,entertainment,150,57,codingmoh,2026-04-05 20:17:23
47631030,Show HN: Ismcpdead.com – Live dashboard tracking MCP adoption and sentiment,entertainment,35,23,sagirodin,2026-04-05 20:17:23
47612277,Almighty Lisp: Lisp and Emacs Essentials Book,entertainment,75,4,nemoniac,2026-04-05 20:17:23
47589856,Show HN: Postgres extension for BM25 relevance-ranked full-text search,entertainment,202,56,tjgreen,2026-04-05 20:17:23
47639207,Show HN: Tokencap – Token budget enforcement across your AI agents,entertainment,7,0,pykul,2026-04-05 20:17:23
47612321,Show HN: I built a DNS resolver from scratch in Rust – no DNS libraries,entertainment,113,65,rdme,2026-04-05 20:17:23
47615844,Show HN: A P2P messenger with dual network modes (Fast and Tor),entertainment,39,22,Realman78,2026-04-05 20:17:23
47593422,"Show HN: 1-Bit Bonsai, the First Commercially Viable 1-Bit LLMs",entertainment,425,151,PrismML,2026-04-05 20:17:23
47617217,Show HN: I tested 15 free AI models at building real software on a $25/year VPS,entertainment,36,7,j0rg3,2026-04-05 20:17:23
47632750,Show HN: TinyOS – A minimalist RTOS for Cortex-M written in C,entertainment,100,43,hpscript,2026-04-05 20:17:23
